"","x"
"259","4"
"260","8"
"261","4"
"262","7"
"263","7"
"264","0"
"265","8"
"266","1"
"267","0"
"268","9"
"269","3"
"270","3"
"271","1"
"272","6"
"273","0"
"274","1"
"275","6"
"276","3"
"277","8"
"278","8"
"279","8"
"280","3"
"281","3"
"282","3"
"283","2"
"284","6"
"285","0"
"286","5"
"287","6"
"288","0"
"289","1"
"290","7"
"291","9"
"292","9"
"293","7"
"294","3"
"295","7"
"296","9"
"297","9"
"298","6"
"299","6"
"300","7"
"301","3"
"302","3"
"303","1"
"304","9"
"305","9"
"306","7"
"307","5"
"308","6"
"309","8"
"310","2"
"311","7"
"312","0"
"313","6"
"314","8"
"315","1"
"316","0"
"317","1"
"318","1"
"319","1"
"320","6"
"321","7"
"322","6"
"323","8"
"324","5"
"325","0"
"326","1"
"327","4"
"328","1"
"329","1"
"330","8"
"331","8"
"332","8"
"333","5"
"334","0"
"335","8"
"336","7"
"337","0"
"338","0"
"339","6"
"340","4"
"341","4"
"342","1"
"343","3"
"344","1"
"345","6"
"346","9"
"347","1"
"348","4"
"349","1"
"350","9"
"351","0"
"352","0"
"353","9"
"354","4"
"355","9"
"356","3"
"357","0"
"358","0"
"359","1"
"360","1"
"361","0"
"362","0"
"363","1"
"364","8"
"365","1"
"366","0"
"367","0"
"368","0"
"369","7"
"370","1"
"371","0"
"372","0"
"373","1"
"374","7"
"375","1"
"376","0"
"377","0"
"378","6"
"379","0"
"380","1"
"381","3"
"382","9"
"383","4"
"384","1"
"385","0"
"386","1"
"387","0"
"388","8"
"389","1"
"390","0"
"391","1"
"392","0"
"393","1"
"394","1"
"395","0"
"396","2"
"397","0"
"398","1"
"399","1"
"400","0"
"401","1"
"402","6"
"403","3"
"404","1"
"405","0"
"406","0"
"407","2"
"408","2"
"409","1"
"410","2"
"411","2"
"412","2"
"413","1"
"414","1"
"415","0"
"416","0"
"417","5"
"418","4"
"419","1"
"420","8"
"421","0"
"422","1"
"423","2"
"424","8"
"425","2"
"426","0"
"427","2"
"428","3"
"429","1"
"430","0"
"431","0"
"432","3"
"433","2"
"434","8"
"435","9"
"436","1"
"437","0"
"438","1"
"439","8"
"440","9"
"441","1"
"442","0"
"443","8"
"444","8"
"445","0"
"446","9"
"447","0"
"448","2"
"449","0"
"450","7"
"451","1"
"452","1"
"453","7"
"454","0"
"455","2"
"456","8"
"457","8"
"458","7"
"459","0"
"460","4"
"461","9"
"462","5"
"463","0"
"464","2"
"465","8"
"466","8"
"467","9"
"468","1"
"469","8"
"470","9"
"471","8"
"472","2"
"473","9"
"474","7"
"475","0"
"476","0"
"477","8"
"478","9"
"479","7"
"480","3"
"481","7"
"482","5"
"483","9"
"484","7"
"485","8"
"486","0"
"487","1"
"488","9"
"489","6"
"490","5"
"491","9"
"492","4"
"493","2"
"494","8"
"495","1"
"496","4"
"497","4"
"498","8"
"499","8"
"500","8"
"501","5"
"502","4"
"503","0"
"504","1"
"505","6"
"506","0"
"507","4"
"508","8"
"509","7"
"510","3"
"511","9"
"512","4"
"513","0"
"514","1"
"515","1"
"516","1"
"517","1"
"518","1"
"519","0"
"520","0"
"521","0"
"522","8"
"523","8"
"524","9"
"525","1"
"526","5"
"527","8"
"528","2"
"529","3"
"530","0"
"531","5"
"532","9"
"533","8"
"534","4"
"535","1"
"536","1"
"537","9"
"538","4"
"539","2"
"540","1"
"541","7"
"542","9"
"543","4"
"544","6"
"545","1"
"546","7"
"547","9"
"548","7"
"549","6"
"550","1"
"551","0"
"552","0"
"553","0"
"554","0"
"555","0"
"556","7"
"557","5"
"558","2"
"559","3"
"560","1"
"561","7"
"562","0"
"563","0"
"564","0"
"565","6"
"566","4"
"567","3"
"568","8"
"569","6"
"570","8"
"571","4"
"572","8"
"573","1"
"574","7"
"575","0"
"576","4"
"577","3"
"578","1"
"579","1"
"580","5"
"581","9"
"582","3"
"583","8"
"584","1"
"585","4"
"586","9"
"587","4"
"588","9"
"589","6"
"590","6"
"591","9"
"592","6"
"593","8"
"594","1"
"595","5"
"596","9"
"597","0"
"598","0"
"599","2"
"600","5"
"601","3"
"602","5"
"603","0"
"604","4"
"605","1"
"606","1"
"607","4"
"608","2"
"609","1"
"610","9"
"611","3"
"612","2"
"613","2"
"614","3"
"615","8"
"616","0"
"617","4"
"618","8"
"619","8"
"620","1"
"621","1"
"622","7"
"623","1"
"624","4"
"625","6"
"626","3"
"627","2"
"628","3"
"629","1"
"630","8"
"631","3"
"632","3"
"633","6"
"634","0"
"635","2"
"636","3"
"637","2"
"638","6"
"639","0"
"640","2"
"641","5"
"642","0"
"643","0"
"644","1"
"645","6"
"646","0"
"647","1"
"648","3"
"649","9"
"650","0"
"651","5"
"652","0"
"653","1"
"654","8"
"655","0"
"656","0"
"657","0"
"658","4"
"659","2"
"660","0"
"661","0"
"662","0"
"663","5"
"664","8"
"665","1"
"666","0"
"667","5"
"668","6"
"669","0"
"670","0"
"671","0"
"672","5"
"673","2"
"674","0"
"675","0"
"676","1"
"677","3"
"678","2"
"679","0"
"680","4"
"681","8"
"682","0"
"683","0"
"684","0"
"685","0"
"686","1"
"687","6"
"688","7"
"689","9"
"690","9"
"691","6"
"692","6"
"693","2"
"694","0"
"695","0"
"696","0"
"697","1"
"698","4"
"699","7"
"700","1"
"701","5"
"702","1"
"703","0"
"704","0"
"705","2"
"706","7"
"707","9"
"708","7"
"709","8"
"710","7"
"711","7"
"712","3"
"713","4"
"714","8"
"715","2"
"716","8"
"717","8"
"718","8"
"719","8"
"720","0"
"721","5"
"722","7"
"723","6"
"724","4"
"725","1"
"726","0"
"727","8"
"728","8"
"729","4"
"730","1"
"731","3"
"732","8"
"733","7"
"734","4"
"735","8"
"736","8"
"737","9"
"738","1"
"739","0"
"740","0"
"741","1"
"742","0"
"743","1"
"744","4"
"745","2"
"746","1"
"747","4"
"748","4"
"749","6"
"750","0"
"751","5"
"752","2"
"753","4"
"754","8"
"755","2"
"756","7"
"757","8"
"758","4"
"759","8"
"760","1"
"761","4"
"762","0"
"763","4"
"764","4"
"765","3"
"766","1"
"767","1"
"768","1"
"769","1"
"770","2"
"771","9"
"772","5"
"773","6"
"774","9"
"775","2"
"776","3"
"777","2"
"778","6"
"779","8"
"780","6"
"781","8"
"782","4"
"783","7"
"784","4"
"785","0"
"786","1"
"787","9"
"788","6"
"789","3"
"790","5"
"791","3"
"792","5"
"793","5"
"794","1"
"795","7"
"796","1"
"797","3"
"798","3"
"799","6"
"800","4"
"801","2"
"802","5"
"803","5"
"804","9"
"805","5"
"806","2"
"807","8"
"808","8"
"809","5"
"810","9"
"811","7"
"812","9"
"813","4"
"814","9"
"815","4"
"816","4"
"817","2"
"818","0"
"819","4"
"820","0"
"821","6"
"822","2"
"823","6"
"824","8"
"825","8"
"826","7"
"827","4"
"828","3"
"829","2"
"830","3"
"831","2"
"832","7"
"833","7"
"834","6"
"835","0"
"836","4"
"837","0"
"838","8"
"839","9"
"840","0"
"841","4"
"842","9"
"843","6"
"844","6"
"845","0"
"846","4"
"847","4"
"848","6"
"849","2"
"850","9"
"851","1"
"852","9"
"853","6"
"854","2"
"855","5"
"856","0"
"857","9"
"858","6"
"859","1"
"860","2"
"861","2"
"862","9"
"863","3"
"864","0"
"865","0"
"866","4"
"867","9"
"868","8"
"869","0"
"870","9"
"871","1"
"872","3"
"873","3"
"874","0"
"875","6"
"876","9"
"877","7"
"878","9"
"879","4"
"880","9"
"881","0"
"882","3"
"883","8"
"884","1"
"885","3"
"886","8"
"887","9"
"888","2"
"889","2"
"890","1"
"891","0"
"892","2"
"893","8"
"894","2"
"895","2"
"896","2"
"897","1"
"898","6"
"899","8"
"900","3"
"901","1"
"902","8"
"903","7"
"904","1"
"905","8"
"906","4"
"907","5"
"908","2"
"909","7"
"910","3"
"911","6"
"912","1"
"913","4"
"914","7"
"915","2"
"916","0"
"917","9"
"918","8"
"919","5"
"920","0"
"921","4"
"922","9"
"923","1"
"924","4"
"925","2"
"926","1"
"927","9"
"928","5"
"929","8"
"930","8"
"931","4"
"932","9"
"933","8"
"934","9"
"935","1"
"936","1"
"937","9"
"938","6"
"939","8"
"940","9"
"941","6"
"942","2"
"943","1"
"944","3"
"945","9"
"946","6"
"947","3"
"948","1"
"949","9"
"950","0"
"951","0"
"952","1"
"953","1"
"954","7"
"955","7"
"956","0"
"957","9"
"958","8"
"959","3"
"960","0"
"961","3"
"962","3"
"963","8"
"964","2"
"965","0"
"966","0"
"967","3"
"968","0"
"969","8"
"970","1"
"971","1"
"972","6"
"973","8"
"974","8"
"975","4"
"976","8"
"977","6"
"978","8"
"979","1"
"980","2"
"981","2"
"982","6"
"983","2"
"984","8"
"985","0"
"986","9"
"987","0"
"988","8"
"989","1"
"990","4"
"991","4"
"992","2"
"993","3"
"994","0"
"995","4"
"996","9"
"997","9"
"998","3"
"999","3"
"1000","6"
"1001","9"
"1002","8"
"1003","0"
"1004","4"
"1005","0"
"1006","8"
"1007","0"
"1008","3"
"1009","0"
"1010","5"
"1011","5"
"1012","6"
"1013","1"
"1014","0"
"1015","1"
"1016","8"
"1017","9"
"1018","9"
"1019","0"
"1020","1"
"1021","0"
"1022","5"
"1023","7"
"1024","6"
"1025","5"
"1026","9"
"1027","9"
"1028","9"
"1029","1"
"1030","0"
"1031","3"
"1032","2"
"1033","5"
"1034","6"
"1035","0"
"1036","3"
"1037","4"
"1038","5"
"1039","3"
"1040","0"
"1041","6"
"1042","4"
"1043","0"
"1044","1"
"1045","0"
"1046","8"
"1047","1"
"1048","8"
"1049","3"
"1050","0"
"1051","1"
"1052","9"
"1053","4"
"1054","6"
"1055","0"
"1056","4"
"1057","6"
"1058","5"
"1059","4"
"1060","0"
"1061","5"
"1062","4"
"1063","0"
"1064","1"
"1065","0"
"1066","1"
"1067","0"
"1068","9"
"1069","1"
"1070","8"
"1071","8"
"1072","3"
"1073","3"
"1074","1"
"1075","3"
"1076","7"
"1077","3"
"1078","1"
"1079","1"
"1080","3"
"1081","7"
"1082","8"
"1083","1"
"1084","1"
"1085","3"
"1086","3"
"1087","4"
"1088","0"
"1089","3"
"1090","7"
"1091","1"
"1092","1"
"1093","8"
"1094","5"
"1095","8"
"1096","1"
"1097","8"
"1098","2"
"1099","2"
"1100","4"
"1101","8"
"1102","0"
"1103","0"
"1104","8"
"1105","4"
"1106","7"
"1107","8"
"1108","7"
"1109","3"
"1110","7"
"1111","8"
"1112","0"
"1113","1"
"1114","4"
"1115","2"
"1116","2"
"1117","3"
"1118","4"
"1119","2"
"1120","8"
"1121","1"
"1122","4"
"1123","8"
"1124","9"
"1125","0"
"1126","0"
"1127","8"
"1128","5"
"1129","0"
"1130","8"
"1131","0"
"1132","3"
"1133","7"
"1134","6"
"1135","1"
"1136","5"
"1137","9"
"1138","7"
"1139","0"
"1140","3"
"1141","8"
"1142","9"
"1143","7"
"1144","8"
"1145","1"
"1146","7"
"1147","9"
"1148","1"
"1149","1"
"1150","1"
"1151","1"
"1152","9"
"1153","4"
"1154","1"
"1155","3"
"1156","7"
"1157","6"
"1158","9"
"1159","1"
"1160","6"
"1161","0"
"1162","6"
"1163","8"
"1164","0"
"1165","0"
"1166","9"
"1167","8"
"1168","8"
"1169","2"
"1170","0"
"1171","9"
"1172","6"
"1173","8"
"1174","1"
"1175","2"
"1176","7"
"1177","2"
"1178","1"
"1179","1"
"1180","3"
"1181","0"
"1182","5"
"1183","7"
"1184","1"
"1185","0"
"1186","5"
"1187","5"
"1188","7"
"1189","1"
"1190","0"
"1191","2"
"1192","7"
"1193","9"
"1194","7"
"1195","3"
"1196","1"
"1197","5"
"1198","8"
"1199","7"
"1200","0"
"1201","1"
"1202","7"
"1203","0"
"1204","1"
"1205","0"
"1206","1"
"1207","7"
"1208","4"
"1209","0"
"1210","0"
"1211","4"
"1212","4"
"1213","8"
"1214","2"
"1215","1"
"1216","2"
"1217","9"
"1218","6"
"1219","7"
"1220","1"
"1221","0"
"1222","9"
"1223","1"
"1224","7"
"1225","5"
"1226","1"
"1227","9"
"1228","8"
"1229","8"
"1230","1"
"1231","6"
"1232","6"
"1233","6"
"1234","1"
"1235","1"
"1236","1"
"1237","7"
"1238","5"
"1239","5"
"1240","7"
"1241","8"
"1242","7"
"1243","2"
"1244","3"
"1245","0"
"1246","8"
"1247","7"
"1248","1"
"1249","0"
"1250","4"
"1251","8"
"1252","8"
"1253","1"
"1254","2"
"1255","9"
"1256","1"
"1257","9"
"1258","8"
"1259","8"
"1260","7"
"1261","5"
"1262","3"
"1263","4"
"1264","1"
"1265","0"
"1266","4"
"1267","8"
"1268","1"
"1269","7"
"1270","1"
"1271","4"
"1272","8"
"1273","0"
"1274","8"
"1275","0"
"1276","4"
"1277","8"
"1278","4"
"1279","3"
"1280","3"
"1281","4"
"1282","8"
"1283","7"
"1284","8"
"1285","8"
"1286","4"
"1287","5"
"1288","4"
"1289","0"
"1290","7"
"1291","1"
"1292","7"
"1293","2"
"1294","8"
"1295","6"
"1296","4"
"1297","8"
"1298","2"
"1299","8"
"1300","2"
"1301","6"
"1302","6"
"1303","8"
"1304","8"
"1305","4"
"1306","2"
"1307","3"
"1308","0"
"1309","7"
"1310","4"
"1311","8"
"1312","6"
"1313","5"
"1314","5"
"1315","9"
"1316","4"
"1317","2"
"1318","6"
"1319","7"
"1320","4"
"1321","4"
"1322","2"
"1323","5"
"1324","4"
"1325","2"
"1326","1"
"1327","2"
"1328","1"
"1329","7"
"1330","8"
"1331","2"
"1332","2"
"1333","8"
"1334","2"
"1335","8"
"1336","9"
"1337","1"
"1338","9"
"1339","9"
"1340","8"
"1341","0"
"1342","3"
"1343","9"
"1344","4"
"1345","4"
"1346","4"
"1347","3"
"1348","2"
"1349","2"
"1350","1"
"1351","4"
"1352","4"
"1353","0"
"1354","4"
"1355","1"
"1356","4"
"1357","0"
"1358","3"
"1359","8"
"1360","4"
"1361","4"
"1362","4"
"1363","7"
"1364","1"
"1365","1"
"1366","4"
"1367","4"
"1368","9"
"1369","8"
"1370","0"
"1371","2"
"1372","4"
"1373","2"
"1374","3"
"1375","1"
"1376","2"
"1377","5"
"1378","5"
"1379","5"
"1380","1"
"1381","4"
"1382","7"
"1383","0"
"1384","1"
"1385","0"
"1386","7"
"1387","4"
"1388","0"
"1389","9"
"1390","5"
"1391","3"
"1392","3"
"1393","3"
"1394","8"
"1395","9"
"1396","4"
"1397","4"
"1398","0"
"1399","9"
"1400","5"
"1401","0"
"1402","8"
"1403","0"
"1404","4"
"1405","0"
"1406","8"
"1407","0"
"1408","3"
"1409","4"
"1410","1"
"1411","4"
"1412","1"
"1413","0"
"1414","3"
"1415","0"
"1416","2"
"1417","8"
"1418","4"
"1419","1"
"1420","9"
"1421","6"
"1422","1"
"1423","2"
"1424","0"
"1425","3"
"1426","3"
"1427","0"
"1428","8"
"1429","8"
"1430","0"
"1431","3"
"1432","8"
"1433","0"
"1434","2"
"1435","3"
"1436","3"
"1437","3"
"1438","3"
"1439","9"
"1440","1"
"1441","9"
"1442","1"
"1443","3"
"1444","0"
"1445","3"
"1446","5"
"1447","1"
"1448","8"
"1449","4"
"1450","5"
"1451","0"
"1452","3"
"1453","6"
"1454","1"
"1455","0"
"1456","0"
"1457","0"
"1458","5"
"1459","5"
"1460","0"
"1461","3"
"1462","1"
"1463","0"
"1464","6"
"1465","4"
"1466","1"
"1467","3"
"1468","3"
"1469","8"
"1470","4"
"1471","1"
"1472","1"
"1473","8"
"1474","6"
"1475","9"
"1476","1"
"1477","4"
"1478","1"
"1479","8"
"1480","6"
"1481","1"
"1482","0"
"1483","2"
"1484","6"
"1485","4"
"1486","9"
"1487","1"
"1488","1"
"1489","5"
"1490","5"
"1491","2"
"1492","1"
"1493","5"
"1494","6"
"1495","8"
"1496","0"
"1497","4"
"1498","3"
"1499","8"
"1500","7"
"1501","2"
"1502","3"
"1503","8"
"1504","8"
"1505","4"
"1506","1"
"1507","2"
"1508","1"
"1509","9"
"1510","8"
"1511","6"
"1512","0"
"1513","9"
"1514","4"
"1515","1"
"1516","5"
"1517","8"
"1518","5"
"1519","3"
"1520","1"
"1521","2"
"1522","1"
"1523","3"
"1524","4"
"1525","1"
"1526","0"
"1527","3"
"1528","7"
"1529","5"
"1530","1"
"1531","4"
"1532","9"
"1533","9"
"1534","7"
"1535","1"
"1536","1"
"1537","0"
"1538","3"
"1539","4"
"1540","1"
"1541","1"
"1542","1"
"1543","2"
"1544","7"
"1545","1"
"1546","8"
"1547","1"
"1548","1"
"1549","0"
"1550","2"
"1551","8"
"1552","6"
"1553","8"
"1554","0"
"1555","5"
"1556","8"
"1557","8"
"1558","7"
"1559","0"
"1560","3"
"1561","1"
"1562","0"
"1563","1"
"1564","0"
"1565","0"
"1566","3"
"1567","0"
"1568","1"
"1569","3"
"1570","2"
"1571","8"
"1572","0"
"1573","6"
"1574","0"
"1575","0"
"1576","8"
"1577","4"
"1578","0"
"1579","0"
"1580","2"
"1581","9"
"1582","0"
"1583","1"
"1584","2"
"1585","9"
"1586","4"
"1587","0"
"1588","7"
"1589","2"
"1590","9"
"1591","0"
"1592","6"
"1593","7"
"1594","2"
"1595","9"
"1596","1"
"1597","0"
"1598","1"
"1599","2"
"1600","1"
"1601","3"
"1602","3"
"1603","0"
"1604","2"
"1605","9"
"1606","9"
"1607","0"
"1608","5"
"1609","5"
"1610","5"
"1611","1"
"1612","0"
"1613","1"
"1614","0"
"1615","9"
"1616","0"
"1617","0"
"1618","1"
"1619","0"
"1620","0"
"1621","1"
"1622","2"
"1623","4"
"1624","7"
"1625","0"
"1626","1"
"1627","7"
"1628","4"
"1629","2"
"1630","8"
"1631","8"
"1632","2"
"1633","6"
"1634","4"
"1635","1"
"1636","1"
"1637","2"
"1638","1"
"1639","1"
"1640","7"
"1641","8"
"1642","0"
"1643","5"
"1644","8"
"1645","1"
"1646","8"
"1647","8"
"1648","6"
"1649","0"
"1650","0"
"1651","1"
"1652","5"
"1653","2"
"1654","1"
"1655","0"
"1656","1"
"1657","2"
"1658","3"
"1659","3"
"1660","1"
"1661","1"
"1662","5"
"1663","7"
"1664","5"
"1665","5"
"1666","7"
"1667","8"
"1668","1"
"1669","2"
"1670","3"
"1671","7"
"1672","0"
"1673","6"
"1674","8"
"1675","8"
"1676","1"
"1677","2"
"1678","7"
"1679","4"
"1680","9"
"1681","9"
"1682","4"
"1683","1"
"1684","0"
"1685","9"
"1686","9"
"1687","5"
"1688","0"
"1689","5"
"1690","1"
"1691","2"
"1692","0"
"1693","0"
"1694","9"
"1695","5"
"1696","3"
"1697","6"
"1698","2"
"1699","7"
"1700","2"
"1701","2"
"1702","0"
"1703","3"
"1704","2"
"1705","1"
"1706","2"
"1707","3"
"1708","7"
"1709","2"
"1710","3"
"1711","0"
"1712","3"
"1713","7"
"1714","2"
"1715","7"
"1716","1"
"1717","4"
"1718","7"
"1719","2"
"1720","3"
"1721","1"
"1722","3"
"1723","5"
"1724","9"
"1725","5"
"1726","0"
"1727","5"
"1728","3"
"1729","8"
"1730","8"
"1731","0"
"1732","3"
"1733","1"
"1734","1"
"1735","1"
"1736","3"
"1737","7"
"1738","1"
"1739","9"
"1740","1"
"1741","1"
"1742","1"
"1743","1"
"1744","9"
"1745","1"
"1746","2"
"1747","9"
"1748","1"
"1749","9"
"1750","2"
"1751","5"
"1752","0"
"1753","1"
"1754","9"
"1755","1"
"1756","7"
"1757","0"
"1758","1"
"1759","4"
"1760","1"
"1761","0"
"1762","1"
"1763","1"
"1764","8"
"1765","1"
"1766","2"
"1767","4"
"1768","8"
"1769","7"
"1770","7"
"1771","8"
"1772","6"
"1773","8"
"1774","0"
"1775","3"
"1776","6"
"1777","1"
"1778","8"
"1779","4"
"1780","1"
"1781","1"
"1782","1"
"1783","8"
"1784","6"
"1785","0"
"1786","3"
"1787","5"
"1788","9"
"1789","7"
"1790","8"
"1791","0"
"1792","2"
"1793","9"
"1794","9"
"1795","2"
"1796","9"
"1797","9"
"1798","7"
"1799","2"
"1800","2"
"1801","5"
"1802","1"
"1803","0"
"1804","0"
"1805","9"
"1806","7"
"1807","7"
"1808","0"
"1809","1"
"1810","3"
"1811","0"
"1812","2"
"1813","1"
"1814","4"
"1815","1"
"1816","4"
"1817","0"
"1818","9"
"1819","1"
"1820","0"
"1821","1"
"1822","0"
"1823","6"
"1824","1"
"1825","5"
"1826","1"
"1827","0"
"1828","6"
"1829","1"
"1830","0"
"1831","5"
"1832","6"
"1833","3"
"1834","1"
"1835","1"
"1836","0"
"1837","6"
"1838","4"
"1839","1"
"1840","1"
"1841","1"
"1842","0"
"1843","3"
"1844","0"
"1845","4"
"1846","9"
"1847","5"
"1848","2"
"1849","6"
"1850","2"
"1851","2"
"1852","0"
"1853","1"
"1854","1"
"1855","7"
"1856","9"
"1857","9"
"1858","6"
"1859","6"
"1860","8"
"1861","9"
"1862","1"
"1863","2"
"1864","0"
"1865","8"
"1866","8"
"1867","7"
"1868","2"
"1869","3"
"1870","5"
"1871","5"
"1872","1"
"1873","1"
"1874","0"
"1875","1"
"1876","4"
"1877","2"
"1878","7"
"1879","9"
"1880","8"
"1881","6"
"1882","4"
"1883","6"
"1884","0"
"1885","8"
"1886","0"
"1887","1"
"1888","2"
"1889","2"
"1890","3"
"1891","0"
"1892","1"
"1893","2"
"1894","1"
"1895","1"
"1896","1"
"1897","4"
"1898","9"
"1899","9"
"1900","1"
"1901","0"
"1902","8"
"1903","9"
"1904","9"
"1905","7"
"1906","0"
"1907","8"
"1908","8"
"1909","4"
"1910","0"
"1911","1"
"1912","0"
"1913","9"
"1914","7"
"1915","0"
"1916","7"
"1917","5"
"1918","9"
"1919","7"
"1920","5"
"1921","8"
"1922","1"
"1923","9"
"1924","7"
"1925","2"
"1926","0"
"1927","1"
"1928","5"
"1929","5"
"1930","1"
"1931","9"
"1932","0"
"1933","5"
"1934","5"
"1935","1"
"1936","0"
"1937","7"
"1938","3"
"1939","5"
"1940","1"
"1941","2"
"1942","1"
"1943","5"
"1944","5"
"1945","1"
"1946","8"
"1947","1"
"1948","8"
"1949","1"
"1950","4"
"1951","3"
"1952","1"
"1953","8"
"1954","0"
"1955","9"
"1956","0"
"1957","9"
"1958","6"
"1959","3"
"1960","1"
"1961","4"
"1962","8"
"1963","7"
"1964","5"
"1965","3"
"1966","4"
"1967","6"
"1968","3"
"1969","5"
"1970","2"
"1971","6"
"1972","3"
"1973","5"
"1974","5"
"1975","4"
"1976","6"
"1977","0"
"1978","8"
"1979","2"
"1980","4"
"1981","6"
"1982","0"
"1983","8"
"1984","5"
"1985","1"
"1986","8"
"1987","2"
"1988","0"
"1989","8"
"1990","1"
"1991","0"
"1992","3"
"1993","5"
"1994","0"
"1995","3"
"1996","0"
"1997","2"
"1998","7"
"1999","6"
"2000","2"
"2001","0"
"2002","4"
"2003","5"
"2004","9"
"2005","4"
"2006","2"
"2007","1"
